author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,helpful_votes,total_review,visibility_status,ranking
P. Gosnell,/gp/profile/amzn1.account.AF42RRBILWQ7UJZ5ERA6ZQM4H33Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 17, 2018",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,nice game,good game,Verified Purchase,14 people found this helpful,,77,182,Public,82835030
Kimber,/gp/profile/amzn1.account.AETEMY3KZ7L3ZS25BTCPHG63HE3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 25, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,Good,Kids,Verified Purchase,10 people found this helpful,,334,160,Public,114340
Junah,/gp/profile/amzn1.account.AED37MQ63SDGZVOHZIVAQXYE4C6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 21, 2018",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,It's great. It's awesome.,Four Stars,Verified Purchase,20 people found this helpful,,43,16,Public,83129678
Esther Acosta,/gp/profile/amzn1.account.AEAUHOMUBUBNCOCXI3NM5WBWWQNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 11, 2017",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,My 4 year enjoys it,Four Stars,Verified Purchase,25 people found this helpful,,15,31,Public,82685442
Irene M. Medina,/gp/profile/amzn1.account.AF3NMWC3OEKNG7UPZNXZUE73VPYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 16, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,It was s gift. Good quality for the price,Reasonably priced,Verified Purchase,14 people found this helpful,,81,18,Public,82930071
Olajumm  Makoguns,/gp/profile/amzn1.account.AFJNHNWS6W3NHEPTFWZGJXSHOMZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 25, 2016",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,love it,Five Stars,Verified Purchase,20 people found this helpful,,43,21,Public,10114756
Michele Pariseault,/gp/profile/amzn1.account.AHKSBVRJTTFJHZWNWIDVGZMBJ2SA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 9, 2018",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,Grandson and I enjoy it☺ He plays on his own after being shown only once.,Five Stars,Verified Purchase,28 people found this helpful,,95,28,Public,82956665
Kaydee Emperley,/gp/profile/amzn1.account.AEQTMGXOWMDYLZHKEYLOCVUDYJQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 21, 2018",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,My kids love this game.,Kids love it.,Verified Purchase,29 people found this helpful,,96,36,Public,82770222
MONICA,/gp/profile/amzn1.account.AG5YR6NB5NH3FE2S2GEYKQEXB6NQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 13, 2020",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,Great game for younger children. Easy for them to catch on to fly and jump to collect coins. We limit game time and they appreciate when they can play.,Easy for young children to play.,Verified Purchase,23 people found this helpful,,121,170,Public,903007
Parker fam,/gp/profile/amzn1.account.AFOJIBMT7KFN6CGF7VWZYHSDLTPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 25, 2018",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,My 2 year old loves this!,Five Stars,Verified Purchase,15 people found this helpful,,272,89,Public,1828326
Patricia Taylor,/gp/profile/amzn1.account.AF4YGA6CH7MEPCEA7BANAAUM2GAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 29, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,kids like it,game,Verified Purchase,2 people found this helpful,,607,514,Public,968566
Kindle Customer,/gp/profile/amzn1.account.AHKU25LUOHUMJSUG7RVZXS4YEEMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 17, 2020",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,Cute game, entertaining,Cute,Verified Purchase,27 people found this helpful,23,8,Public,83820542
Ana Osh,/gp/profile/amzn1.account.AFNI3SDLSGTZBEKM7IWOUTBVTD4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 10, 2020",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,Love the bed!!!,Great Buy!!!,Verified Purchase,23 people found this helpful,,134,151,Public,83112117
T.Silva,/gp/profile/amzn1.account.AGAJ2DGSR2SUSVI4E3ITKUBS3WZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 9, 2016",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,Finally a pj mask game! My daughter really enjoys playing it! It does have some glitches but it was free!,Pj mask! (Finally!!),Verified Purchase,16 people found this helpful,,3,4,Public,1414730
Nita,/gp/profile/amzn1.account.AHGWGV27CFOUSTGKCQZZ7VTGKASA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 17, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,Great game...grandsons love it,Great game...grandsons love it,Verified Purchase,,,971,545,Public,82800142
Jibs,/gp/profile/amzn1.account.AGBHLW6MISZKWAH5G5EBVPCUL5BA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 8, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"Good app, no issues so far!",Good app,Verified Purchase,7 people found this helpful,,3,10,Public,60948
lane robinson,/gp/profile/amzn1.account.AFCJWZZUREKT72XLI6B6ZTBQYUDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 5, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,The little one loves it for tablet time,The kiddo loves it on their tablet,Verified Purchase,3 people found this helpful,,116,19,Public,82942218
Patsy Gayler,/gp/profile/amzn1.account.AEUJ4BPFLDUMHQ64AJQU4QRB5TDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 10, 2020",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,1.0 out of 5 stars,Could not use the product. Paid for the download but it will not work on the smart cycle. None of the apps do that we’ve purchased. The only thing that works is tech city which came loaded,Wasted money,Verified Purchase,17 people found this helpful,,36,28,Public,83460565
Bounce,/gp/profile/amzn1.account.AHEBSYUX2V6JSSRKLYPZMXOPF7YA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 10, 2018",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,Kids love it,Educational,Verified Purchase,15 people found this helpful,,52,47,Public,82618444
maria vera  and josue vera,/gp/profile/amzn1.account.AEP6D4PG4YOJCN3MTBZV7MPEIBSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 15, 2020",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,1.0 out of 5 stars,"basura,mala calidad,no voten su dinero","basura,mala calidad,no voten su dinero",Verified Purchase,6 people found this helpful,,13,13,Public,83718850
Key .,/gp/profile/amzn1.account.AFCZ2PAVZ4LMKLWYORPPJG3BB72Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 19, 2020",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,My daughter loves it,.,Verified Purchase,4 people found this helpful,,120,162,Public,83443947
Joyce García,/gp/profile/amzn1.account.AERUDEXWHBFWJDZ2FHJ2XVNYSEYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 31, 2020",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,Excelente inversión,Excelente inversión,Verified Purchase,4 people found this helpful,,78,47,Public,83815105
Twila G. Lenoir,/gp/profile/amzn1.account.AGVVP2I4JO7LZNR62LWVEYIASNUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 22, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"Too cute, the kids loved it and as a grandma i loved it too.",Kids loved it,Verified Purchase,13 people found this helpful,,29,18,Public,3020407
Kelly M Weaver,/gp/profile/amzn1.account.AECD5LOCXQNKRAOBJ7CZ2DUBD2NQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 16, 2017",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,4.0 out of 5 stars,My 2 year old loves this!!!,Four Stars,Verified Purchase,26 people found this helpful,,10,28,Public,5180668
Emily RH,/gp/profile/amzn1.account.AENVCHPJK4HHGIDA4TV2L5M2ON7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 15, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,My 3.5 year old needs a little help with this game but it's cute and she really likes it and it seems to work well.,"Fun, cute game for preschoolers",Verified Purchase,4 people found this helpful,,202,67,Public,83208171
Robertsonak,/gp/profile/amzn1.account.AEVQX3EHO3B7VGUURXRZ25O3PBPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 30, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,Fun Game,Fun Game,Verified Purchase,2 people found this helpful,,90,19,Public,83775904
Traci Rushing,/gp/profile/amzn1.account.AEYQAEDI3VPTOGUE26VQPMPQ4ZAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 6, 2017",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,My three year old loves this game,Five Stars,Verified Purchase,19 people found this helpful,,141,91,Public,83258093
Christy mitchell,/gp/profile/amzn1.account.AES2QYIGWFKGPVTR3EEV2QKAD72Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 14, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,Good game..grandson like it,Good game,Verified Purchase,23 people found this helpful,,32,41,Public,83645297
Marcus Melton,/gp/profile/amzn1.account.AHFMKUEWOWYF7MW3QGPAKQTZ6ZSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 26, 2020",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,I must admit I love playing this game with my Baby girl lol it allows you to fly and jump very easy to get the hang of my baby is only 2 and she plays it like a boss,Love it,Verified Purchase,12 people found this helpful,,22,6,Public,83381585
Leslie Carolina Baez B.,/gp/profile/amzn1.account.AGOYULPTROL254WIHEYDFFLCVNZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 15, 2016",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,4.0 out of 5 stars,Great app for the kids,Four Stars,Verified Purchase,21 people found this helpful,,781,106,Public,25487016
Eric Stanley,/gp/profile/amzn1.account.AGE6CV5SILZAZFNXD5M3ASRLCFOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 17, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,3.0 out of 5 stars,"Doesn't keep my 3 year olds attention very well, and there's lot of things she can click that pause the game or pull up a menu etc.",Not great for smaller children,Verified Purchase,12 people found this helpful,,8,1,Public,16428
KingKofi,/gp/profile/amzn1.account.AEW6CRQP626ZIDBS3N2BIHZ5FBUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 1, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,My baby girls love PJ Mask!!,She loves it!!,Verified Purchase,8 people found this helpful,,533,259,Public,82603353
justin c. sheridan,/gp/profile/amzn1.account.AFLHUPUJUUFUMSXDHRFUCCYP6K7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 1, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,3.0 out of 5 stars,Ok,Ok,Verified Purchase,23 people found this helpful,,12,2,Public,83579873
Tb,/gp/profile/amzn1.account.AGNYUNEWV2KCSQZVNBTBOFZ3YSEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 21, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,My grandkids love this program,They luv it,Verified Purchase,12 people found this helpful,,29,8,Public,82653922
Bry,/gp/profile/amzn1.account.AH3DPWN7ZTKRQNTM4BJX6UNZPVJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 17, 2016",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,My son says awesome.,Awesome,Verified Purchase,29 people found this helpful,,16,1,Public,8802174
linda costa,/gp/profile/amzn1.account.AEQLHWRMUP7JO3GTAZ7DA4UIEQOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 10, 2017",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,My 5 year old granddaughter just loves this app. It's easy to do and holds her interest.,It's easy to do and holds her interest,Verified Purchase,16 people found this helpful,,21,35,Public,82559662
Jerry Krieg,/gp/profile/amzn1.account.AHIOIHQBQK5U75DDDAN7BBYCZELQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 11, 2018",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,My grandson loves it,Five Stars,Verified Purchase,13 people found this helpful,,19,6,Public,82995222
Walid B.,/gp/profile/amzn1.account.AHFITQZYDWCNKDHCWMZWUBYF6BOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 8, 2018",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,Good,Five Stars,Verified Purchase,16 people found this helpful,,948,466,Public,82804483
Patricia,/gp/profile/amzn1.account.AECCTJP2AGYIYDJ47F7OPXZYLB5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 18, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,Good game,Ok,Verified Purchase,42 people found this helpful,,420,208,Public,83601838
Brandie,/gp/profile/amzn1.account.AGNAXVMTWHE2MBVLP4HHT2ZGRVSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 25, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,My 4 year loves this game.,Fun app,Verified Purchase,13 people found this helpful,,20,28,Public,47703
Murissa Jack,/gp/profile/amzn1.account.AHKLNDYYKSMPYRF7JAUMIQIUXMTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 25, 2018",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,5.0 out of 5 stars,My daughter loves this on her tablet,Five Stars,Verified Purchase,13 people found this helpful,,45,40,Public,82843884
Christina isley,/gp/profile/amzn1.account.AF5XRU6NRCTM3MFXEPEZCSCQN7CA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 27, 2017",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,5.0 out of 5 stars,My son loves this.,Five Stars,Verified Purchase,13 people found this helpful,,24,14,Public,82881110
Cathy Orlando,/gp/profile/amzn1.account.AGQ3Z33BAQTQA4V36M3MIOXRSXRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 29, 2018",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,1.0 out of 5 stars,"New to Fire 7, I downloaded this for my granddaughter who LOVES PJ Masks....this is too advanced for her to do.",To advanced for a 2 year old PJ Masks Lover,Verified Purchase,23 people found this helpful,,30,32,Public,82571587
