author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,visibility_status,ranking
superman,/gp/profile/amzn1.account.AGUBAO7UTVSS4O2DAU7PDVFN2GIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 31, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,4.0 out of 5 stars,I love this game no math involved!!  Sooo worth the money. 👑👑 you get to make your own levels and join other levels. Only one problem you still have to earn all of the characters and color.😐😐,worth the money!!!,Verified Purchase,2 people found this helpful,2,3,Public,61120569
Carl Tyson,/gp/profile/amzn1.account.AGXXEPWX536O5LSAX4WEEOVY4C7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 13, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,i like it cause its good for times when your bored. also is definitely worth the money.,Five Stars,Verified Purchase,3 people found this helpful,7,9,Public,36811011
Kathy Callahan,/gp/profile/amzn1.account.AECHU3XUTERODI6RI6YSXXLOFICQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 19, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,4.0 out of 5 stars,Super fun and also very addicting. I could play this all day!,Super fun,Verified Purchase,2 people found this helpful,27,14,Public,11707468
person,/gp/profile/amzn1.account.AGMNO6QMH6E74TJ3SYFPPSO5G3GQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 5, 2014",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,this is a great game that can frustrate. but you always keep coming back. and it is just a great game,this is a great game,Verified Purchase,3 people found this helpful,62,8,Public,55596371
Chrystyne Maloney,/gp/profile/amzn1.account.AFA7OH2OE3LK4SYHJPGVYXW3BWGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 25, 2014",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"This is a amazing game and get a 1,000000 reviews and is awesome and I love it like LOLIt is amazing,awesome,cool,fun,addicting,and awesomely amazing",AWESOME,Verified Purchase,3 people found this helpful,3,5,Public,59114913
Mr.Troll,/gp/profile/amzn1.account.AHCJIJMF4YPVYKSC2GRTBCKHE2GA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,This game hasn't  a lot of things to unlock and has millions of levels its almost endless. Also a lot of customization and tons of challenges.,Fun!,Verified Purchase,2 people found this helpful,4,2,Public,65765808
Larry Remington,/gp/profile/amzn1.account.AEW2VU25AW6XQEILHTLNSSLQUBWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 27, 2016",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,Best game ever,Awesome,Verified Purchase,,36,6,Public,11252643
Paula Holtkamp,/gp/profile/amzn1.account.AHINGZ3MJLLRVCBYDF3NTRLHQ2CQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 5, 2016",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,I love this game 😇!!!!!!,BrianH2Os review,Verified Purchase,4 people found this helpful,37,8,Public,82586029
Torsten Yahr,/gp/profile/amzn1.account.AGWE4C52J3K67SCUVFB73PFAQAWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 17, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,Great game had game for 2 days and I beat blast processing,Great game,Verified Purchase,,0,7,Public,57393641
Austin St. Gelais,/gp/profile/amzn1.account.AGSR4MINCAC5PCAVBL2Y3DXBPOLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 27, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,This is an awesome app it tastes like cheese,Great and addictive,Verified Purchase,One person found this helpful,1,2,Public,65958631
A. Boese,/gp/profile/amzn1.account.AGWNQWWU62C7FF5I2724M4U4NL2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 3, 2014",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,This game is by far one of the best apps that I have ever gotten. It is really worth the money.,This game is by far one of the best apps that I have ever gotten,Verified Purchase,,123,15,Public,1257773
Privet_Ty,/gp/profile/amzn1.account.AG444TL6TIC5R3JAXWYRXOS2H75Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 19, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,A game I come to when I'm bored.,"Something to do, fun levels",Verified Purchase,One person found this helpful,1,1,Public,68669936
Amazon Customer,/gp/profile/amzn1.account.AHRHSKBW4QET3XA3RBP2BMVZSDWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 8, 2016",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,It's a awesome game but makes you mad easily,Awesome game,Verified Purchase,2 people found this helpful,2,1,Public,62261417
Brian J. Nielsen,/gp/profile/amzn1.account.AGSMYNZ2MILN36DQ65NLU54DTFYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 31, 2014",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,OMG! How didn't I know that the game was so AWESOME! I really suggest that you get this game :0!,AMAZING!,Verified Purchase,One person found this helpful,14,13,Public,8653814
Thomas P. Mavretish,/gp/profile/amzn1.account.AGAG5ELUJS3BOYPJY23ZRQXSV7WA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 8, 2014",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,This game is sooooooooo much fun and so addicting DOWNLOAD this game it is so much funding again DOWNLOAD THIS GAME.,addicting!!!!!!,Verified Purchase,One person found this helpful,1,2,Public,43402130
laura fender,/gp/profile/amzn1.account.AEIC34SYT2VXNEQL4L7VYQ76MI7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 27, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,I love this game it is so fun with or without the lite,So Fun,Verified Purchase,13 people found this helpful,64,15,Public,13414999
kiwicarla,/gp/profile/amzn1.account.AHHDUCSOX3MUOZIPN4U67AB72XQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 27, 2016",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,I create worlds like crazy,epic game,Verified Purchase,7 people found this helpful,312,35,Public,2734962
kathleen mcmichael,/gp/profile/amzn1.account.AGOZ43UEB35UKWNPREUX4YIURK3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 3, 2016",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,Best game I've ever played!,Five Stars,Verified Purchase,One person found this helpful,5,12,Public,48255291
Fantastic!,/gp/profile/amzn1.account.AGEAWTN7IHZJK7D6FIAECUUYKVYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 29, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,This game is so addictive I play it almost all day long it takes me really good skill to play this game,AMAZINGLY! good,Verified Purchase,,2,3,Public,60541924
Steele Blue,/gp/profile/amzn1.account.AGV4CWDPQPQP4MRTH7OTWXNCRMBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 16, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,Two of my grandsons are LOVING this game. They compare their progress with each other and congratulate the other for accomplishments. It's great!,Haven't tried it myself...,Verified Purchase,,0,4,Public,57320802
Brent R.,/gp/profile/amzn1.account.AHN7ZB4R54Y6LS3FU7I4VISOBSJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 5, 2016",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,It is amazing! It is the best game I have ever played!I love it.,AMAZING,Verified Purchase,One person found this helpful,3,8,Public,26483254
Braydens Fire,/gp/profile/amzn1.account.AGHKACJ5XXI53BIIUWADA2BZJBCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 18, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,I found that it was really addicting and a good time spent. I thought it was totally worth two bucks for no ads!!!!!! :),Love it.,Verified Purchase,2 people found this helpful,5,5,Public,60213583
Marijke Coffa,/gp/profile/amzn1.account.AGUMGE3A4QDLIPG4UN675463GHXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 28, 2014",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,This game is awesome! But for some reason my Kindle always blue screens when I play this. Probably just because Kindle is a bad device that I wish I'd never bought,Fantastic,Verified Purchase,One person found this helpful,1,3,Public,68252705
AsaIsCool2,/gp/profile/amzn1.account.AFJ4VX3VKCXPUUUZWM733BYFBKWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 6, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,"One of THE Best games of all time i think. Awesome graphics, music, and all around awesome. Addicting and fun.",Amazing!,Verified Purchase,10 people found this helpful,106,28,Public,11465594
SDove,/gp/profile/amzn1.account.AHAOHGPQLHGNOLCLWKSW3XMRWUNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 7, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,Worth the 1dollar 99¢,awesome,Verified Purchase,One person found this helpful,1,2,Public,62987216
Annabelle,/gp/profile/amzn1.account.AHZEBSIDRJ2NKHU4F4VGVGGBQP3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 28, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,"Wow, I can't believe that this game is so awesome and hard at the same time!",AWESOME,Verified Purchase,,5,15,Public,26295495
Collin Brady,/gp/profile/amzn1.account.AHTRQ7Z2FUW5EJYUT5E5CESXK7OA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 24, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,I think it's is a awesome amazing game and great fun for people who like intense games!!,Awesome !!,Verified Purchase,,8,3,Public,82523987
awesome but hard,/gp/profile/amzn1.account.AHIXXDPQFHZWPZLAUK3YGD3D2FUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 4, 2016",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,Awesome game,amazing,Verified Purchase,One person found this helpful,1,1,Public,67685433
Amazon Customer,/gp/profile/amzn1.account.AE6UPJWDAWBIJHQ2VUXM57WFUKWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 4, 2016",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,5.0 out of 5 stars,Awesome! Rage Game!,Five Stars,Verified Purchase,One person found this helpful,1,1,Public,68016945
Michelle Roth,/gp/profile/amzn1.account.AEPT4X3VHCGZEK7CLMDMF2YBHPVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 19, 2016",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,5.0 out of 5 stars,Awesome have to get the game,Best game,Verified Purchase,2 people found this helpful,2,5,Public,14382880
