helpful_votes,page_url,total_review,visibility_status
106,amzn1.account.AHMSKE2ORIJWDQW3OAUZK3RLLDAA,56,Public
13,amzn1.account.AF5ZRZZLXNXYWXQ6IC47K5MAFYIA,25,Public
118,amzn1.account.AFKQAQ6M2Y4FN3ZXPKZKM3VQASPA,145,Public
524,amzn1.account.AE2CQPWJUFIVTWHGUMF6PJ2JDMJA,165,Public
484,amzn1.account.AGZFQAEH65GPGUCDRLNYREV5ZDRQ,132,Public
225,amzn1.account.AFMT7RTKA2TC6BWTWOTMRW6PVCZA,184,Public
48,amzn1.account.AE5MNFBF3ITU5M6X45FF3PPUSKTQ,43,Public
50,amzn1.account.AELUEKSUBZFJW4QKBGBN2KBCQOIQ,23,Public
35,amzn1.account.AHL4H3AJXYIAAK7AYYR43HECPDGQ,77,Public
1,amzn1.account.AHSIHVHD6QMVKTXXV4ANNURKHZVQ,11,Public
29,amzn1.account.AFO7NX4FFRKP43UBVQZUFFOVLKZA,63,Public
28,amzn1.account.AHHO3BARDYTJETS6TKHR65PBYWYA,48,Public
42,amzn1.account.AEB4NXQBULBGG4JKH7TF4SLXUSRA,17,Public
75,amzn1.account.AGQXVGZFWN3SYWMDIJ6YHJHLG4TQ,120,Public
174,amzn1.account.AHJA64M2PYYQOIDXPQ35A5BXPFCQ,121,Public
73,amzn1.account.AFJ6UIHHGRRI4K7BPXY6F42DM53Q,87,Public
14,amzn1.account.AGE4Z7JCGPFIDRHYA7NO3BLX3XZQ,42,Public
33,amzn1.account.AETYN6DGXJQKHMF6SKAJXQMLD6SA,20,Public
11,amzn1.account.AEC25AMNMD4QCA2E56Q6CUMBJBBA,45,Public
15,amzn1.account.AGZIL5PJ65UYE4KTOJHNB3S53HNA,16,Public
40,amzn1.account.AEANUYAOFVMPBA4HGHREDDMTPGBQ,34,Public
64,amzn1.account.AH7YKM32C6OUSGM6YPZJRGB43ISA,109,Public
34,amzn1.account.AGSCTXAXUMMZYQOWU4A3HS7TQLHQ,53,Public
21,amzn1.account.AG2LNO6OMNFFDUJNMMXUOOX7TRLQ,24,Public
122,amzn1.account.AGLHDCHAEDSDUM3LFWCLBCNXLDDQ,68,Public
3,amzn1.account.AFYA36Q7Q3VQLNW7DR4GEYHYIJBA,20,Public
55,amzn1.account.AEP2LNN74QSXQLWQVSS4PBD42RYQ,51,Public
33,amzn1.account.AGETAMLDJLOQETKOIWMO2OCXUBJA,39,Public
16,amzn1.account.AEUL46Z2VJVCKBDSBZ7GH5OHNU2Q,33,Public
138,amzn1.account.AEYXP2UEXMRE3G4M2VL2TMNKEUXQ,88,Public
119,amzn1.account.AH72GVZAQWR4ADTQTMXKWT6TJJ7Q,97,Public
51,amzn1.account.AHSJCDIFNCDMAVTZ2C6YTYGWMVUA,34,Public
"4,231",amzn1.account.AHULTZBUSJ36OLCP5SWG4BFKGCGA,"1,034",Public
419,amzn1.account.AEFWRVQYL7A3G5KNN5QOTWXF5WIA,170,Public
82,amzn1.account.AFJEN7T3N2QWH7FOIZ3MFNKFRJOA,65,Public
362,amzn1.account.AFNU6IBZNTWZMIC3CMICSEXGJ4ZA,42,Public
53,amzn1.account.AGSFTS5ZDT2RO2CF5AIL6RDK5PAQ,24,Public
254,amzn1.account.AELIUYGEZS7XSN7TLGSCCHRD6NEQ,86,Public
40,amzn1.account.AFWOYB6SHN76DU2TGZILS4MIZ5UQ,32,Public
101,amzn1.account.AG5QJU3WYA7ZSAHMJTYKQKS5DZ6Q,256,Public
66,amzn1.account.AFE2HI3H5FD6XAJKOYRWNTY4UPQA,23,Public
31,amzn1.account.AGEEUKJSKMH5HDXGUV62L45HBSYQ,62,Public
17,amzn1.account.AHO4GSXMJHAQPJEMWXKGVHHY6DLA,98,Public
155,amzn1.account.AH3JGEEBKTRHQMHGZ3UEKHQFBBUQ,52,Public
76,amzn1.account.AGZKRE2B35W5QZ3POC3J2H42L24A,41,Public
42,amzn1.account.AE4GV74BXRG2EO24UASHAPPFZYIQ,89,Public
215,amzn1.account.AEA5PD222XVOIHAGATEI4SHA7CRQ,144,Public
132,amzn1.account.AFFH5DUW5PUD4JGG3X2X7YC6YEOA,66,Public
"1,336",amzn1.account.AEFXQXYBHB6A5QLMXUCJQHH4GOZA,323,Public
1,amzn1.account.AH5QFOQ4OGSESDTDZPA7UKS55OJA,4,Public
278,amzn1.account.AGECT6EWSOXJQ7JAXQMRZEUJ7VSQ,93,Public
14,amzn1.account.AFGZGUA2ITZAD6QS2NPNMZMXAV5A,40,Public
14,amzn1.account.AHI5XCNJR3WONYAKPEDLYIE67M3A,20,Public
457,amzn1.account.AHHAQDXWRWZHO27N6GFWHGEZOABA,226,Public
115,amzn1.account.AFKNM2GVMG52LYZ6PDJBUT7O363Q,113,Public
158,amzn1.account.AFC352SB2CW6BHOZPBCZTCFKS6ZA,26,Public
22,amzn1.account.AGRCAHRWJB2BRVMUDYOQHKQQPSUQ,85,Public
58,amzn1.account.AFRPQ6NLALHQX4HTOZMKWQOGZWDA,97,Public
146,amzn1.account.AHTWIO6E2RU2GGC7UYHUCGGDKUTA,328,Public
62,amzn1.account.AHGEJ7VOV4COSXFKBH5VWSHUNP4Q,11,Public
44,amzn1.account.AHK2RSQGCCDROQO5FDU4ITF62SGQ,50,Public
18,amzn1.account.AFRLF45DQPGVS7E4ISBF5PIHB6MQ,67,Public
6,amzn1.account.AFDLIXOWDP4ZIYZMAWHU2L5VZICA,20,Public
"3,254",amzn1.account.AGYZWSP7LG24CPLOCAQZYVL27NVA,761,Public
272,amzn1.account.AFL3GDPPSQJP6U44N45E2FLVWKHQ,207,Public
171,amzn1.account.AHQ24FY4RGNHE5I3ZT3KZHDDU5BA,49,Public
43,amzn1.account.AG5VFJTQNFSUDUKDDDJ2A3VP7VUQ,67,Public
9,amzn1.account.AGJCIC4O6WSEKWJEQL45YIK5LWYQ,27,Public
175,amzn1.account.AHGHGBKEYA27QAD2CRIOQOPE246A,141,Public
32,amzn1.account.AHF75HOVLX4QDPAQUGWPQHNRWXKQ,82,Public
105,amzn1.account.AENZZAEXZLEAI5AGX76KQ4YTCYIA,78,Public
5,amzn1.account.AFX4RHIN3DMHBE6PO6UZPJB7LYEA,17,Public
11,amzn1.account.AHSQYHVUPKEVJQR5QY4CLS5CTLGA,27,Public
83,amzn1.account.AGO2GS2SUU724UCR5U4ZMA7OKJGQ,62,Public
553,amzn1.account.AH2DO4O5ZUD5LFTEDBWQNS3TKTFA,117,Public
55,amzn1.account.AGNNNPQ7YXCZKBZ32IHIVT7VEUVA,72,Public
128,amzn1.account.AHAX7GVNXI3DTHFI33RCO2MKXCMQ,188,Public
350,amzn1.account.AGTJE6R2UPETDFCX25B5DHRME6VQ,88,Public
138,amzn1.account.AH4A4QLAYWYDVSIZ4V5H63T5GSPQ,63,Public
3,amzn1.account.AFUCLDNK3YQLRYZSJHOOBJ2KPNMQ,3,Public
244,amzn1.account.AFWXH5H3G4MEBC7HWLNB23R4QGRQ,185,Public
191,amzn1.account.AEEAQNVWFQNKHHHY5JFIP2FIMMLQ,69,Public
46,amzn1.account.AF4EKPGCW4B5YX4C3T2XNYWOKEAA,64,Public
37,amzn1.account.AGE44GCOGTGV7YHW4KKKIGVJJQDQ,38,Public
33,amzn1.account.AGEVJTPFL6W4KRCFQ3MY6TAP7FQA,77,Public
22,amzn1.account.AHVXAXRW7PXY3OYCNIM7BTRMDAJQ,31,Public
14,amzn1.account.AGE5D3NV7XJ5CIFYEN6L3MP2FGLQ,31,Public
12,amzn1.account.AFW3BX5TO3S47RSVQUXURXPY5HKQ,27,Public
104,amzn1.account.AHBKPMIFCPQQDOGOKM66EBQRONMA,39,Public
71,amzn1.account.AGNRBVRELJ4KKTQQMALGURXRPOAA,35,Public
17,amzn1.account.AF3MEPTU7TRLUSOYTBWA7WIZVAIQ,37,Public
931,amzn1.account.AEDN7ZXUOC3D55JMYRYWPCKILURA,197,Public
110,amzn1.account.AEL5RYERVCMYXYQZ52GPXUSVS3DA,42,Public
119,amzn1.account.AEYWADCMXRZUM3XCX4FPEQCQRUKQ,129,Public
384,amzn1.account.AG4CFIRRKFJG57YQBFGIJ4IY6BYQ,96,Public
2,amzn1.account.AHLOZ4NKF4552ZAUAEJP5ZYHNCGQ,12,Public
84,amzn1.account.AH3AX3QPDMN6LG5FSMCFDSKPWVEA,49,Public
12,amzn1.account.AEYXJQP3YU32DDYLHVSXAEHZMQPQ,13,Public
3,amzn1.account.AG2TOC5MQZ3JAKYMVA4QLOC3RTAA,16,Public
