title,reviewer,rating,review,votes,verified_review,date_of_review
Worst product hardwares,ba_doh,1.0 out of 5 stars,"









  
  
    ",58 people found this helpful,Customer reviews,Reviewed in India on 11 November 2018
Disappointment,ba_doh,2.0 out of 5 stars,"









  
  
    ",44 people found this helpful,Customer reviews,Reviewed in India on 11 November 2018
Utterly disappointed with the product - low quality not expected of the premium product,ba_doh,1.0 out of 5 stars,"









  
  
    ",15 people found this helpful,Customer reviews,Reviewed in India on 11 November 2018
Bad Quality,ba_doh,1.0 out of 5 stars,"









  
  
    ",11 people found this helpful,Customer reviews,Reviewed in India on 11 November 2018
The Best Budget Friendly Macbook,ba_doh,5.0 out of 5 stars,"









  
  
    ",5 people found this helpful,Customer reviews,Reviewed in India on 11 November 2018
Extremely poor customer support,ba_doh,1.0 out of 5 stars,"









  
  
    ",3 people found this helpful,Customer reviews,Reviewed in India on 11 November 2018
"Genuine Apple product ,Very fast , light and totally worth it",ba_doh,5.0 out of 5 stars,"









  
  
    ",2 people found this helpful,Customer reviews,Reviewed in India on 11 November 2018
Purchased 3 laptops all DEAD after 1 Year,ba_doh,1.0 out of 5 stars,"









  
  
    ",2 people found this helpful,Customer reviews,Reviewed in India on 11 November 2018
Go and buy it,Sumit Kukade,4.0 out of 5 stars,"
  Never purchase any Apple products. I bought 3 and start giving problems just after 6 months. I need to visit 4 times service station which is far 12 km. Again MacBook start acting dead after 6 more months. Mean a top priced laptop giving problems in every 6 months.",65 people found this helpful,Verified Purchase,Reviewed in India on 2 August 2019
The sound quality was not good. My laptop started giving issues with power button ...,Vishal Surani,1.0 out of 5 stars,"I have good experiences with other brands of laptops. I hope this comment can help to save somebody’s money.
",146 people found this helpful,"
              ",Reviewed in India on 8 July 2019
Really disappointing,varun,1.0 out of 5 stars,"
  
",54 people found this helpful,Newest,Reviewed in India on 9 January 2019
Worked for one year only,Amazon Customer,1.0 out of 5 stars,"









  
  
    ",48 people found this helpful,Verified Purchase,Reviewed in India on 29 August 2018
Gud One.. Awsm.. Love.. It..,Chirag khushalani,5.0 out of 5 stars,"
  I use this for music production and it works awesome..however the display is not so good as it should have been in a 63k laptop
",64 people found this helpful,"
              ",Reviewed in India on 26 July 2019
"Defective piece, got played by Amazon/Apple DO NOR BUY",Rumi,1.0 out of 5 stars,"
  
",42 people found this helpful,Newest,Reviewed in India on 1 August 2019
Amazon not a great platform to buy expensive products,Vivek,3.0 out of 5 stars,"









  
  
    ",55 people found this helpful,Verified Purchase,Reviewed in India on 29 October 2018
DON'T BUY THE OVERPRICED LAPTOPS,Raj,1.0 out of 5 stars,"
  Reason for 1 star is I ot an defective piece. The sound quality was not good . My laptop started giving issues with power button from  4 months. The screen would flicker and it would shutdown automatically after sometime. Took the mac to service centre. They replaced the motherboard free of cost as it was in warranty. Now my mac is perfectly fine :
",52 people found this helpful,"
              ",Reviewed in India on 13 August 2019
Initial Impressions- Very Good!,Capt Mitesh Gulati,4.0 out of 5 stars,"
  
",43 people found this helpful,Newest,Reviewed in India on 25 August 2018
Great product!!,Sumit Kukade,5.0 out of 5 stars,"
  Bought it on 9th July, stopped working / not turning power on by 4th Nov. Adding to this disappointment is - Apple's refusal to repair it under warranty stating that there is corrosion in Logic Board. Amazon also did not help. The seller - Appario - does not like to be bothered with it. Sometimes I wonder if buying electronics online is a good idea!
",35 people found this helpful,Verified Purchase,Reviewed in India on 2 August 2019
Stopped working. Spare part costs Rs 43000.,ganesh,1.0 out of 5 stars,"
  
",32 people found this helpful,"
              ",Reviewed in India on 15 November 2018
A biased review from a person who used this for 6 months...,Sumit,4.0 out of 5 stars,"









  
  
    ",25 people found this helpful,Newest,Reviewed in India on 17 October 2019
Dead MacBook exactly a month after Warranty ended with no help from Apple Service,Riya,1.0 out of 5 stars,"
  Good purchase of mine",24 people found this helpful,Verified Purchase,Reviewed in India on 28 August 2019
Worth every penny,aRandomGamer,5.0 out of 5 stars,Best for programming...,27 people found this helpful,"
              ",Reviewed in India on 30 March 2019
Worst,Ravi Rao,1.0 out of 5 stars,"Only some heating issues...but can be ignored!!
",33 people found this helpful,Newest,Reviewed in India on 14 July 2019
Defective piece,Abhra Roy Choudhury,1.0 out of 5 stars,"
  
",18 people found this helpful,Verified Purchase,Reviewed in India on 13 January 2019
Worst of worst product... Fragile hardware,Amazon Customer,1.0 out of 5 stars,"









  
  
    ",18 people found this helpful,"
              ",Reviewed in India on 27 September 2018
Received Faulty Product,V S CHAUHAN,1.0 out of 5 stars,"
  Stopped working before",23 people found this helpful,Newest,Reviewed in India on 31 July 2019
Look at the cost of spares before buying,Sumit Kukade,3.0 out of 5 stars,"
  I purchased this product in February 2018 from Amazon. The power button started giving problems in end-May 2019. The computer just would not startup. I scanned the Net for such problems.  A lot of work arounds: push the Start button+ shift button etc. This worked for a few days. Then such work around too stopped working at all - the computed refused to start-up once shut down. Surprisingly, I ran the computer diagnostics on the Macbook, and the diagnostics program could not find any defect! I was surprised that even if the program could not find a defect on the computer, yet the computer once shut down would not start up.",11 people found this helpful,Verified Purchase,Reviewed in India on 2 August 2019
Happy to buy it from amazon in cheaper price.,Airabat-India,4.0 out of 5 stars,"Secondly, finding a  Macbook authorised service center too is an onerous task in India. The Service center informed me that there is a problem with the mother board. And it needs to be replaced. Wow! Next time I would stick to my windows notebook, would never purchase a Macbook again!
",18 people found this helpful,"
              ",Reviewed in India on 17 July 2019
Died in 2 and a Half Years,Ifti,2.0 out of 5 stars,"
  
",12 people found this helpful,Newest,Reviewed in India on 17 August 2020
Laptop dead after 1 year,Ayush Sinha,1.0 out of 5 stars,"









  
  
    ",21 people found this helpful,Verified Purchase,Reviewed in India on 30 August 2018
Apple MacBook Air - She's a beauty.,Ganapathy,5.0 out of 5 stars,"
  I am writing this review after 3 yrs. It was a great feeling when I purchased this laptop and it was a big ambition too... Why it can't be? People were looking at me with a great look when I carry this Mac along with me to office or to public places. It was again a great experience of speed, look, weight, logo, and u name anything u want, u have it...",14 people found this helpful,"
              ",Reviewed in India on 9 January 2020
Awesome!,Tushar,5.0 out of 5 stars,"However, after 3 years, the problem suddenly came up. My Keypad and Mouse tracker both failed working and the reason was not known. I tried with customer care too to find a solution, however after spending an hr, I found no solution. Finally the CC suggested me to take it to Service centre. The CC person informed me that they will do resetting the mac but all in vain. For that they charged Rs.1800/-Then after 2 days they told that keypad need to be replaced which will cost Rs.25000/- then again for the Trackpad which will be around Rs.10000/-So totally it is Rs.35000/- (approx)",19 people found this helpful,Newest,Reviewed in India on 20 October 2018
Best laptop,Abha Tiwari,4.0 out of 5 stars,"Now the people whoever are reading this review, need to calculate there financial issues and then plan to go ahead. Moreover, I felt it is not so user friendly laptop and it has many restrictions. Eg-Connect Android Mobile to Mac...",21 people found this helpful,Verified Purchase,Reviewed in India on 8 November 2018
Excellent Product and Service by Amazon and Seller,charanpreet,5.0 out of 5 stars,The cost of Display will be Rs. 49000/-.. Just think about it and then go ahead.,23 people found this helpful,"
              ",Reviewed in India on 29 September 2018
Stopped working after 2 years,Anil Verma,1.0 out of 5 stars,"Suggestion: For those who are crazy of Apple like me but with financial issues, then my suggestion will be ""BIG NO"".",10 people found this helpful,Newest,Reviewed in India on 28 January 2019
Keyboard crashed and not switching on after 1 year.,Sumit Kukade,1.0 out of 5 stars,"
  Writing the review after a two yr usage of macbook. Bought it because of very good experience with other apple product. But this was pathetic. Within a year of use the screen had vertical colorful lines. Luckily it was under warranty and got it mended.",8 people found this helpful,Verified Purchase,Reviewed in India on 2 August 2019
You can't go wrong with a Mac,Abhi,5.0 out of 5 stars,Exactly after another yr i faced the same issue and cost of repair is only 42k.,12 people found this helpful,"
              ",Reviewed in India on 10 August 2019
best value for money!beats windows still! don't believe reviews,Aravind S,4.0 out of 5 stars,Very disappointed and people shld be aware of this issue before purchasing.,7 people found this helpful,Newest,Reviewed in India on 21 October 2019
Mac air not turning on,Dhruva Sagar,1.0 out of 5 stars,"Would not recommend to anyone.
",10 people found this helpful,Verified Purchase,Reviewed in India on 30 October 2018
Good laptop,suhail,4.0 out of 5 stars,"
  
",5 people found this helpful,"
              ",Reviewed in India on 21 May 2019
"Your are helpless after purchasing, Once you made payment that's it u r dead.",Faiyazuddin Shaik,1.0 out of 5 stars,"









  
  
    ",7 people found this helpful,Newest,Reviewed in India on 14 August 2019
Crap,rajesh,1.0 out of 5 stars,"
  Don't buy for the pride or quality advertised. The lapot keyboard failed just 2 days after the warrenty period. Service cost was 19,000. So I backed out and was using a USB keyboard. Now the whole system is not switching On. Took to local service center it has costed me 3,500 to just make it work again and still will cost more to make the keyboard replaced. Truly gutted. I have my HP laptop pro book almost 9 years old still running without any issues. Was planning to buy an IPhone but surely not after this. Deeply sad by the experience.
",17 people found this helpful,Verified Purchase,Reviewed in India on 12 June 2020
Best lapi ever I use..,Gnanendra.J,5.0 out of 5 stars,"
  
",6 people found this helpful,"
              ",Reviewed in India on 25 September 2019
Not satisfied,Amazon Customer,1.0 out of 5 stars,"









  
  
    ",9 people found this helpful,Newest,Reviewed in India on 8 October 2018
Faulty laptop,ba_doh,1.0 out of 5 stars,"









  
  
    ",5 people found this helpful,Customer reviews,Reviewed in India on 11 November 2018
You will not want to leave it,Sumit Kukade,4.0 out of 5 stars,"
  I got this for 52K during Amazon Sale. I can say that this is the best budget friendly Macbook ever.",3 people found this helpful,Verified Purchase,Reviewed in India on 2 August 2019
2 YEARS LATER,Prabhat Rayal,4.0 out of 5 stars,"I have been a windows user for a very long time and always wanted to try a Mac because the whole world uses it. I used to be an Apple critic. But after using it for months, I can say that I am never going back to Windows again.",4 people found this helpful,"
              ",Reviewed in India on 19 May 2019
Product is awesome but unhappy with amazon,Amazon Customer,3.0 out of 5 stars,"The only thing Windows does better is gaming. Buy a Windows if you care about gaming. For everything else, Mac should be your preference. If you are looking forward to developing iOS or Mac apps, Mac is the only way.",11 people found this helpful,Newest,Reviewed in India on 27 September 2020
Expensive!!!,Jai,1.0 out of 5 stars,"It is much more faster, responsive and sturdy than my Windows laptop. The OS never crashes and the performance is just flawless. Meanwhile my Windows laptop crashes very often ( Blue screen of death, Unwanted updates, driver incompatibility etc). I receive free OS updates every now and then and there has never been a compatibility issue.",6 people found this helpful,Verified Purchase,Reviewed in India on 20 August 2020
Prone to screen damage,Amazon Customer,2.0 out of 5 stars,Apple - You just earned a new customer for life. Just make sure you don’t keep increasing the prices as it is the only con I can think of.,5 people found this helpful,"
              ",Reviewed in India on 14 August 2018
Very bad service,Abc,1.0 out of 5 stars,"TL;DR - If you want a laptop that is not going to irritate you every now and then and your budget is 50-60K. Wait for the sale and go for this Mac. But remember - This is not for gaming. For that, buy windows
",3 people found this helpful,Newest,Reviewed in India on 13 November 2019
Best Entry level Mac.,Nilabh ,5.0 out of 5 stars,"
  
",3 people found this helpful,Verified Purchase,Reviewed in India on 7 February 2020
Best mid range laptop,Shubham Mishra,5.0 out of 5 stars,"









  
  
    ",3 people found this helpful,"
              ",Reviewed in India on 21 August 2020
Machine is machine after all,SumeetKumar Tripathi,2.0 out of 5 stars,"
  Purchased in July2018. After 2 years of good usage, its working same as when I bought it (processor basically). LOVE the trackpad and the keys!",5 people found this helpful,Newest,Reviewed in India on 14 June 2020
Good for Work :) Not so good for games,Sumit Kukade,5.0 out of 5 stars,"
  Stopped working after 1 year and 2 months, just died for no reason.",3 people found this helpful,Verified Purchase,Reviewed in India on 2 August 2019
Display not working,Amazon Customer,1.0 out of 5 stars,"What the hell, such horrible customer support. Straightaway charging 3.5 K for diagnosis and 43 K for motherboard replacement that too for a fault that is on their end (their hardware).",5 people found this helpful,"
              ",Reviewed in India on 27 August 2020
charger,Jacob,1.0 out of 5 stars,Feels like the most illogical thing I have ever faced. Hugely disappointed in Apple.,10 people found this helpful,Newest,Reviewed in India on 9 June 2020
Camera not installed- Defective Product,Lokesh Naik,1.0 out of 5 stars,"Product is amazing as long as you don't face such issue. however, if you try to search videos on youtube youtube, you will see tens of thousands of views on videos related sudden death of Macbook air, which proves that this is a very common problem and seems like Apple customer support has only one  solution for all their hardware problems, replace the motherboard. What the hell!!! How are we expected to trust Apple products?
",3 people found this helpful,Verified Purchase,Reviewed in India on 30 September 2019
The blood suckers in the market!,ARUN Kumar  Agarwal,1.0 out of 5 stars,"
  
",4 people found this helpful,"
              ",Reviewed in India on 5 September 2018
Most convenient for moderate usage and day to day activities,Jhuma Sen,5.0 out of 5 stars,"









  
  
    ",One person found this helpful,Newest,Reviewed in India on 3 May 2020
One of the Best Laptops in the market,debashis panda,5.0 out of 5 stars,"
  I was very confused on buying Mac Air over other Gaming laptops which offered better specs. But somehow it made sense over the time. I am writing this review after 1 year of usage. I bought the Mac Air (2017 version) on Jan 2019 for around 61K.",2 people found this helpful,Verified Purchase,Reviewed in India on 3 August 2020
ASTONISHINGLY SLEEK AND AMAZING BATTERY LIFE,ilamuhil,5.0 out of 5 stars,Experience:,2 people found this helpful,"
              ",Reviewed in India on 10 May 2020
Defective product,Sam Jeshurun,1.0 out of 5 stars,"About 121 GB will be available for your usage. System is super speed and responsive. Absolutely seamless performance. Display is a beauty. I know some would complain about its viewing angle, but when you start to use it, no one will care about such technical details. Its the most lightest and slimmest machine, don't worry weight. The best part is, Battery Backup. Its so long that you'll even forget when was it last charged. Even on straight usage, minimum 8 hours is guaranteed. I think its more than that.",3 people found this helpful,Newest,Reviewed in India on 25 September 2020
Totally worth it.,Sumit Kukade,5.0 out of 5 stars,"
  Pros -",One person found this helpful,Verified Purchase,Reviewed in India on 2 August 2019
Logic board crash,Nikhil Gupta,1.0 out of 5 stars,1) Looks  Splendid and amazing.,3 people found this helpful,"
              ",Reviewed in India on 21 October 2020
very bad experience,PeasInAPod,1.0 out of 5 stars,2) Genuine Apple product and so light .,6 people found this helpful,Newest,Reviewed in India on 4 June 2020
"Low on price, best on performance",MADHU,4.0 out of 5 stars,"3) Extremely Fast , can multi task.",2 people found this helpful,Verified Purchase,Reviewed in India on 24 September 2020
Best combination of worst,Suyash Vijay,1.0 out of 5 stars,4) Above average battery / just shut the lid and open it anytime ( it will not buffer ),3 people found this helpful,"
              ",Reviewed in India on 13 July 2019
"Defective configured keyboard, got replacement. So no grievances.",kamal kapil,5.0 out of 5 stars,"5) if you have an I phone  , you can connect it and life is simpler and can sync everything.",5 people found this helpful,Newest,Reviewed in India on 17 November 2020
product is good but amazon hasn't listed my purchase with apple yet,Kalpana Rajvansh,2.0 out of 5 stars,"6) Go for it if you want to browse , watch videos and best if you are lazy/laid back as the Mac book air opens so quick and you can continue from where you left or if you wish to search something and would like to see an answer asap rather than waiting for your windows to open and buffer etc etc and lose interest ( been there done that :) )",One person found this helpful,Verified Purchase,Reviewed in India on 13 June 2020
Without Apple Care You are Bound To Be Doomed,Saxenas,2.0 out of 5 stars,Cons,4 people found this helpful,"
              ",Reviewed in India on 28 September 2019
Waste of Money!!!!!,Achal,1.0 out of 5 stars,1) storage is very less ( 128 gb),5 people found this helpful,Newest,Reviewed in India on 2 July 2020
Go for it,Sumit Kukade,5.0 out of 5 stars,"
  Worst Laptop in the history of Mankind. Its has a scam software which makes it dead and when it reaches the recycler it becomes active after software rewriting. It is a SCAM by APPLE. Earlier cases have been reported in USA and apple have lost many cases in this regard. Overall Apple is FRAUD.
",2 people found this helpful,Verified Purchase,Reviewed in India on 2 August 2019
Please must read before purchase,Abhishek Singh,1.0 out of 5 stars,"
  
",3 people found this helpful,"
              ",Reviewed in India on 17 July 2020
"Very dissapointed,bad quality product recieved",sukhwinder singh,2.0 out of 5 stars,"









  
  
    ",4 people found this helpful,Newest,Reviewed in India on 25 January 2020
So much for Apple's quality!!!,Mahesh Kumar Prajapati,1.0 out of 5 stars,"
  Bought this during Diwali sale. Apple is amazing. I was confused between Dell/HP touchscreen laptops and Macbook. Then after going through every single detail, I must say this is very powerful machine. If you dont require so much softwares , then definitely go for it. Being a researcher and student, whatever i need is easily available through softonic or other websites. and it has good substitute of MS Office. Battery Back up is very good. I use it for 7-8 hours a day and normally it can be used for upto 15 hours.
",7 people found this helpful,Verified Purchase,Reviewed in India on 2 October 2019
Not a good product,Jm,5.0 out of 5 stars,"
  
",3 people found this helpful,"
              ",Reviewed in India on 20 February 2019
Affordable Long Lasting Light Laptop,Amit Kumar Singh,5.0 out of 5 stars,"









  
  
    ",4 people found this helpful,Newest,Reviewed in India on 13 July 2019
Delighted to use it,kkpathak,5.0 out of 5 stars,"
  This is the worst  apple product I have ever seen ...6 month After purchase of this fake book ...some of its keys of keyboard  stopped working ...So the service center  replace my keyboard with the new one ...But after some months with  the new replaced  keyboard some of its key again stopped working .All these things happen in one year and 3 month timeline which is roughly 1.5 years of original purchase date ... ...When I spoke to the service center they told me that the warranty is over you need to pay 12000 rs ...So I don't have any option. The cost is too high. ..So now I m working with the external keyboard which cost me merely 200 rs ... My friend bought the same macbook from the showroom and i must say its really working good and it doesnt show any fault at all .Till now .i wish i also bought this macbook from the showroom ....
",3 people found this helpful,Verified Purchase,Reviewed in India on 31 August 2020
Ever worst experience,VJ,1.0 out of 5 stars,"
  
",3 people found this helpful,"
              ",Reviewed in India on 16 January 2019
Faulty macbook received,Vivek,1.0 out of 5 stars,"









  
  
    ",4 people found this helpful,Newest,Reviewed in India on 28 November 2018
Not a good model of Apple.,ba_doh,2.0 out of 5 stars,"









  
  
    ",One person found this helpful,Customer reviews,Reviewed in India on 11 November 2018
Excellent performance in nice price,ba_doh,5.0 out of 5 stars,"









  
  
    ",10 people found this helpful,Customer reviews,Reviewed in India on 11 November 2018
Okay Product - If you are not using it for graphics intensive works,ba_doh,4.0 out of 5 stars,"









  
  
    ",One person found this helpful,Customer reviews,Reviewed in India on 11 November 2018
Awesome product and fantastic mac experience,ba_doh,5.0 out of 5 stars,"









  
  
    ",One person found this helpful,Customer reviews,Reviewed in India on 11 November 2018
Worst Laptop I've every seen,ba_doh,1.0 out of 5 stars,"









  
  
    ",2 people found this helpful,Customer reviews,Reviewed in India on 11 November 2018
Must buy.. For professionals and students !!,ba_doh,5.0 out of 5 stars,"









  
  
    ",One person found this helpful,Customer reviews,Reviewed in India on 11 November 2018
Amazing Light Weight Laptop,ba_doh,4.0 out of 5 stars,"









  
  
    ",5 people found this helpful,Customer reviews,Reviewed in India on 11 November 2018
Finding a powerful performer. Here it is!,ba_doh,4.0 out of 5 stars,"









  
  
    ",2 people found this helpful,Customer reviews,Reviewed in India on 11 November 2018
Good Laptop for daily working,ba_doh,5.0 out of 5 stars,"









  
  
    ",One person found this helpful,Customer reviews,Reviewed in India on 11 November 2018
Great product,Sumit Kukade,5.0 out of 5 stars,"
  General observation, Do not buy expensive electronics from Amazon as thy have no quality control in place/checks on their vendors. Mostly, vendors pass on defective items to customers. It is true across categories.
",2 people found this helpful,Verified Purchase,Reviewed in India on 2 August 2019
Good Performance. Though it heats up often despite all Software Updates.,Shariq Ali,3.0 out of 5 stars,"
  
",10 people found this helpful,"
              ",Reviewed in India on 11 November 2019
Beware of defective machines,Nitesh,1.0 out of 5 stars,"









  
  
    ",One person found this helpful,Newest,Reviewed in India on 31 January 2019
Comfortable and easy to use,Ashutosh Bakshi,5.0 out of 5 stars,"
  I was apprehensive of buying Apple product from Amazon as some reviews suggested that imported items are being sold. However what I got was fresh and genuine product, I checked warranty on Apple site with serial no. All serial no - on bill, box, inner box and in macOS itself were consistent. Display is too good and it feels like butter operating the device. Only thing is that price difference between this and 256GB version is too much.
",2 people found this helpful,Verified Purchase,Reviewed in India on 10 August 2018
Apple is Best.,Karima,5.0 out of 5 stars,"
  
",7 people found this helpful,"
              ",Reviewed in India on 28 February 2020
Terrible product,Amazon Customer,1.0 out of 5 stars,"









  
  
    ",5 people found this helpful,Newest,Reviewed in India on 12 January 2019
Faulty MacBook !,Suresh babu m,1.0 out of 5 stars,"
  Good Performance. Though it heats up often despite all Software Updates.
",4 people found this helpful,Verified Purchase,Reviewed in India on 28 July 2018
Scratched body and a non charging MacBook. Got a used item! And would not turn on.,Amazon Customer,1.0 out of 5 stars,"
  
",2 people found this helpful,"
              ",Reviewed in India on 1 June 2019
Defective Mac Book Air delivered by Amazon!,Ramakrishna KG,1.0 out of 5 stars,"









  
  
    ",2 people found this helpful,Newest,Reviewed in India on 1 January 2020
MACBOOK AIR REVIEW,Sumit Kukade,3.0 out of 5 stars,"
  I bought two pieces of this , because I really heard good comments about it but unfortunately just after the 2nd year both of them have faced problems, one faced mother board problem and another one screen problem. I am sorry but if your looking for long lasting laptops then don’t buy this model. It’s waste of money. This model of Apple is not good at all.
",One person found this helpful,Verified Purchase,Reviewed in India on 2 August 2019
Best investment,Mukherjee,5.0 out of 5 stars,"
  
",One person found this helpful,"
              ",Reviewed in India on 21 August 2020
Battery life is becoming a concern,Amazon Customer,3.0 out of 5 stars,"









  
  
    ",2 people found this helpful,Newest,Reviewed in India on 6 January 2019
Macbook air stopped working 2 months after purchase,Preeti Vohra,1.0 out of 5 stars,"
  Everything about this product seems to be fine as of now. Got an option to upgrade to higher OS and install tools required for my work. Except for not so good sound quality while watching movies through itunes stores, other aspect seems to be fine. Higher storage options (256 GB) may be required for power users who may want to app development on this system. Current configuration suits light - medium heavy user(I belong to this category)- (need xcode debugging feature for my projects ).
",One person found this helpful,Verified Purchase,Reviewed in India on 15 July 2020
"MacBook Air with low resolution display, still value for money",Vidya,3.0 out of 5 stars,"
  
",3 people found this helpful,"
              ",Reviewed in India on 6 November 2018
its worth laptop,Dr tanmay,4.0 out of 5 stars,"









  
  
    ",One person found this helpful,Newest,Reviewed in India on 24 August 2020
Seller please Update OS information,Suni V Raj,4.0 out of 5 stars,"
  It's the best investment I have made. I would have regret if would have bought a windows laptop instead. You have to just compromise with the screen quality. But what else you get worths buying this. Best performance in this price, best battery life in any laptop in this price range or this may be better than other expensive windows laptops, you get the best build quality and a reliable and secure OS i.e macOS. Guys, if you can afford this, please ignore windows laptop, only if you can compromise with screen quality. You may get better screen quality in the cheapest windows laptops, but everything else, won't be worth compromising. I bet you..Get it today..!
",3 people found this helpful,Verified Purchase,Reviewed in India on 19 March 2018
Why I love my MacBook?,Sujal solanke,5.0 out of 5 stars,"
  
",3 people found this helpful,"
              ",Reviewed in India on 23 October 2020
Good Laptop- full of surprises,Santosh Kumar nanda,5.0 out of 5 stars,"









  
  
    ",One person found this helpful,Newest,Reviewed in India on 5 October 2020
Fall in love with MacBook Air,Sumit Kukade,5.0 out of 5 stars,"
  Don't want to mention anything for apple MAC book :)",One person found this helpful,Verified Purchase,Reviewed in India on 2 August 2019
Highly disappointed. Flickering screen problem since day one.,Jubin Patel,1.0 out of 5 stars,"Super product
",3 people found this helpful,"
              ",Reviewed in India on 4 November 2017
BEST Battery Life and Light weight,Vijesh V,5.0 out of 5 stars,"
  
",2 people found this helpful,Newest,Reviewed in India on 22 October 2020
worst laptop,Mukul,1.0 out of 5 stars,"







",3 people found this helpful,Verified Purchase,Reviewed in India on 28 August 2020
Amazing Laptop,MANAS PATEL,1.0 out of 5 stars,"
  ",2 people found this helpful,"
              ",Reviewed in India on 18 November 2019
Just go for it,Sumit Kukade,5.0 out of 5 stars,"
  - NO lags !!",One person found this helpful,Verified Purchase,Reviewed in India on 2 August 2019
"Dead after 18 months, repair charges equal to product buy price",Madhu.R,1.0 out of 5 stars,- Good Battery life !!,3 people found this helpful,"
              ",Reviewed in India on 7 September 2019
A beast,Shubham Gondane,5.0 out of 5 stars,- Fit for regular office works !!,One person found this helpful,Newest,Reviewed in India on 16 October 2019
Good laptop! Customer service can be improved!,Muhammed U.,5.0 out of 5 stars,- Storage is 128 GB - Up grade costs more !!,One person found this helpful,Verified Purchase,Reviewed in India on 29 June 2019
Awesome,Sagnik Chatterjee,4.0 out of 5 stars,- Screen Quality is mediocre !!,One person found this helpful,"
              ",Reviewed in India on 5 June 2019
