badges,page_url,ranking
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AG344D6TKPCHTYHMQWE3GRRMXOOA/?view=visitor,3963454
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFL5XVMZF4RS72Z7KZSHV2IHSOQA/?view=visitor,1889218
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHDIA5Q4EERRISZAEK3MVFVTRMZQ/?view=visitor,1634325
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEGDD6KGXRQLNQAZZBMFSKJLZJ3A/?view=visitor,2498559
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFMJ546O2WCHVO6HZJH2YVRIXRKA/?view=visitor,10917806
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGYJ5J2OV5C5MDQQHLZYJH7B2REA/?view=visitor,1360508
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEF25YPSW3CYRKRH7QMUX4UDZXBQ/?view=visitor,5244199
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFBOE4V2D4EZBC3H2KLHJ5O77GIQ/?view=visitor,3466255
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHEBH3RXQX7YMEBIWTK6BUXX3CVQ/?view=visitor,9482204
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFLDT5N7AHOESMXUUTZUVUD7DY5Q/?view=visitor,4273069
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AG7IWQET3KPIO7S24OBUXUCARU6Q/?view=visitor,695467
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFDEZ4AMNUAPFYVMYRLU6W5S4LSQ/?view=visitor,1299336
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGRKQDD6DDUONKVOLK4FPADVNDEA/?view=visitor,108942
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGLQIT36FU2XVIZBVLR2MQMJSEZQ/?view=visitor,1767434
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHEHQ22YOS37OE6GYLNLOI7WMCEQ/?view=visitor,30021
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGRFQTHXGVALCEXIROLEJGSFCB5A/?view=visitor,1381607
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHN2Y56I2B7QRTRHBWL45TIMO5NA/?view=visitor,1776538
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AE4VZNPF4NOLUPK6U3BOYPPX35YA/?view=visitor,63312013
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGEMLCRTQFE32M3UN2L6NIROJW2A/?view=visitor,1776252
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGQKG7MLTUYUXGYFKCM3KDR4PWIQ/?view=visitor,1479591
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFERKV6YAJDSSEWWXK37QVOQWGCQ/?view=visitor,398531
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AH27INIPXGRI4ISBVXDWPMNIFSOA/?view=visitor,6471660
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHGW3RFC5OQOO536WMMDCI4PJFVQ/?view=visitor,1175914
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGODUEUCTVANO2SM5R6H7G3DLUXA/?view=visitor,63692
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AETZTIFT6VHUKIOVUBTL47OLEJKQ/?view=visitor,56970169
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHVR65QWYL4VVYUEUCYY4EU2WGZQ/?view=visitor,4141809
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEP7OROEOKE4SD6ZUTFWBXE2DUFA/?view=visitor,462771
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFIQ33V6QBOXJYFIQT27DHANQLSA/?view=visitor,9716153
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AG5BUUQ5BC6K4QKRPV3WS7B744QQ/?view=visitor,10738915
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AH2HA56WMDPEJI7KFWFXBOE5ZFJA/?view=visitor,689028
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFVSGLWHW5NIA64RNRSJ4MOYS2NA/?view=visitor,2600198
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFF4VX6UGPNWR6HAZRF7OV5UMFLA/?view=visitor,25674790
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGXJP7FVQSLAY3KHCCTQ2UHPZHNQ/?view=visitor,4785057
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFQKZ7ZZT5YR5TLOW2DAC5DKVYXQ/?view=visitor,6810482
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFBWXIUTGOCMLCCK7RJQOTQIHYJQ/?view=visitor,7256991
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AELHIAYNLT6CCYJUDEAGC3QCU3GA/?view=visitor,4131945
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHLGWDN2Z36ZAXCMUNSAJLE6BK3A/?view=visitor,5804187
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHKAGOHUW4QZ4LOOMZFBYTXEBEZA/?view=visitor,23985551
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AESKDSS2TO6PBUI2K5PVSVRJTNDA/?view=visitor,8367178
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFO6SNEDKHIZVQQIMMTAVF5NUK6Q/?view=visitor,2605720
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AE63ZVBYZYW5ZEAMEIEKLWF3VCKQ/?view=visitor,44451291
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AETNVW26BC6Z4ZF33MUAY7RCP6ZQ/?view=visitor,1311468
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFKACPZLPON4JTXLI3H7UCWAU3FA/?view=visitor,48790
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEW625R54WW44MRHITP5CALDMHNA/?view=visitor,7129253
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGITYWSLJBPFFF3B5O2NSUNEZ6HQ/?view=visitor,5811183
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHTKFI56OLGNL77KJXUG2GAUNAJQ/?view=visitor,4274357
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AF3BGYOUX4LEXVYFRZIRA45EQ3IQ/?view=visitor,22846472
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFIKVFZWOKYZSV6DPY6RRY5LBRPQ/?view=visitor,1324663
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHF3LLKK2A5CBJB2APBW4A47SSDQ/?view=visitor,316141
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AF7ZYNIRHXQQPRUGDJQW4PTOFD6A/?view=visitor,1456239
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEMGSCHJFUMT7XIKKOILNYSDVBLQ/?view=visitor,11274745
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHNVSUYUFIYK7WK7CP2NZDLRUINA/?view=visitor,9900961
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AG7QKH3QN66NPZNL4IZ34VF6ZTHQ/?view=visitor,3093823
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGUYBLHFTOGZMRCCMOXQICPJOTTA/?view=visitor,10596393
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHRKPJIX7CGJQ5QQCDXWL5TG336A/?view=visitor,9000010
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGIUQXEBRMAFW4SPMZ7SMZQOIERA/?view=visitor,968558
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFHHNAFS36JEIZ2Z6X22ULUCG6HA/?view=visitor,1362127
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHXOAXWTTQQLNVREKZHB76ZKMVWA/?view=visitor,52488
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHNB4HCKASGHGDO767VPDBREFG7Q/?view=visitor,11694
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHXLH2V7IDI63G4EKAXBVZUWAJGQ/?view=visitor,2060434
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEWPIUSTE7KNVHGHBOCSCRGUNK4Q/?view=visitor,5170496
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AG4ITD7V2QISLFWO5JABRZRCZ4CA/?view=visitor,31542853
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AH6IPEKD5DELLRDN3IOA2TLFEX6A/?view=visitor,686755
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEHC7FQTPPIYEODMOYTEKZ3FHFXA/?view=visitor,3167777
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFYWGFZ265AERCFALD6KWAWJLDVQ/?view=visitor,2057043
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFHAB57D2UJTBXGGFJU7X6FB5TVA/?view=visitor,78691
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEJHU2QPH6OKUMBAT3PUVHDLI2OA/?view=visitor,738924
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AF4XJ7V3MDTTEKM7YWEY2N2T625Q/?view=visitor,6539544
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AF326T44RPE2G6ZUUKXLOB5LWFSQ/?view=visitor,84467109
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFVQPOQCVLABJHG5VC5TW2IDYM5Q/?view=visitor,420684
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AENCBHZDGV7YLEZ6U5K2EXWQ6VMQ/?view=visitor,503660
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFQRCC3HCN7WJEEP3VTVQ3UQLNYQ/?view=visitor,8726558
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHEZZIQVBUWKXUWYEXE3NYUTB22Q/?view=visitor,4485
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AH7TWTRBMQMEXA43CERKR5SLHRRA/?view=visitor,8385496
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHC7YHR5K4NXXBLDXVHXF6PH2GGA/?view=visitor,84351440
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFETTO3OZ74DH53Y56QNGTPEQMIQ/?view=visitor,509210
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AER3XMSFZSIYZYEHGWVFM74X4CHA/?view=visitor,2661596
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGVMP32H7WOWBKGGHHYV66SMCTEQ/?view=visitor,84463016
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFXNEAS2Y2BAQZLKA3L45HWVSCLA/?view=visitor,55517054
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFXZ5OI4TNU7WHDS3QJT422F57YA/?view=visitor,4641205
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGDKJ7ZC72JFWMD5FCSJRNP7LACQ/?view=visitor,3545443
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHOUACZF4EMO27WXCANZBLC2TXPQ/?view=visitor,48895144
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFRZDA4ZUH7E5UZVURU73P7Z2Y6Q/?view=visitor,1106802
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHKQ262M6L3JCHQBEOE5ZTORPMKA/?view=visitor,134218
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGILE4LOF2YXMY6OXT4CTG7BGCRQ/?view=visitor,13956
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHKURGGWZGDJRPOQWWU63MWJ3A3Q/?view=visitor,175019
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEKGYGRUWM6EDQIEHAIE3AMA753A/?view=visitor,224307
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AF7CAAXWM7ZBB4MJ36A3O5CWNUVQ/?view=visitor,9068471
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFUJ2YKYSZUBG2SEU4FWP6QOJSAA/?view=visitor,30629071
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFHJPRJHHHU3JMTBY2TT2XSJ53BA/?view=visitor,3486000
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHIDJUXRXOZ37RIBDMJWRKEBLZ5Q/?view=visitor,1828647
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFUCCOWSOXY23JXEZGJRV63YS2GQ/?view=visitor,13464943
