ids,ranking
amzn1.account.AE4BVCXGQNLPJIAVZRFZEG7QFDBQ/,188792
amzn1.account.AGXN32QNTCZNPPSKJ4OSENKMYEGA/,1437441
amzn1.account.AG7DTPPKRFLPGDB5H4NPCFQKUAUQ/,440921
,
amzn1.account.AES45D5W62OV6EWSPAEVAWHVNLNQ/,1014223
amzn1.account.AFYN4BQUUK6H77K6U7JXOTS2D4TQ/,3710432
amzn1.account.AH4OC5QL3MAFAKUJADNLDLJJMFRQ/,61797190
amzn1.account.AH5TPGVI562NNFP7RW3OIYCIKZOA/,11916727
amzn1.account.AHFGQC4NRADDLLFC4PVHFXJWLSAQ/,562147
amzn1.account.AHWS2BQJ3NVN5E5QAT7Q2RJLQ33Q/,161750
amzn1.account.AGORR27AM4XDR3QE7FQYFGDMTD5A/,3638797
amzn1.account.AEJ263BAIQKUNFGGHPM5QLXW4ITA/,50706
amzn1.account.AGBFAIHSTEDVQHL7SWJ5Z2BKXIFQ/,875586
amzn1.account.AGRSP4BVCAXALVDOCLPYBVNW3QOQ/,1245103
amzn1.account.AFRCXT4POT5IISLIFZDB77LVGFEQ/,260412
amzn1.account.AEIPKVNSWYVTUJDDTYXLFXOFAJMA/,3642654
amzn1.account.AEVTGJZT5GK6UN4XMY3HQ55JFFYQ/,217091
amzn1.account.AEFRNM4TDOQMPWTAYCG2OCPYZNAQ/,159860
amzn1.account.AGXMF6IWZYUVCRGQNCGQOFQSLSAQ/,239489
amzn1.account.AH5ZQVQV2JY7ZK2ZZA4MB354BGLQ/,84436848
amzn1.account.AGRX7BGGOGEJCW3YRACIGVCEQQ6Q/,682823
amzn1.account.AEUSYETHYGPKYG6HN3ICUVLFXLEQ/,6553190
amzn1.account.AEBNYK4D7OBLVJMQBJXN5TI755BQ/,840789
amzn1.account.AFESF5YRR5DRREGUARDFPSXXOFDQ/,2807116
amzn1.account.AEMUGWZANINLV4KNERTHHQDLGQ4A/,3145385
amzn1.account.AFSFUHV57KQRWVAUJF4MO3SL5WYQ/,12825848
amzn1.account.AEBMIEBPAS3T7QQYC7BSDNGLCFPQ/,84496731
amzn1.account.AG27ZZCHX2I62VMHZD2AKEMM4Z4A/,9489
amzn1.account.AHTCU5OE3B46CPAHB3JO7F2IIIBA/,764062
amzn1.account.AG35WRUUJFAG5CHLPFU4KITWX76A/,3301815
amzn1.account.AH4T5NVLZC6PAYJ73LLAG6GQZZBA/,3479786
amzn1.account.AF3U5SJQNXXTUE4HQSG7ZYR7XEZQ/,412986
amzn1.account.AGVUM25MW3FFLCAAZBJIMLPGMYCA/,84174523
amzn1.account.AFEOXFQRKC7SAWF465PXK34L3HJA/,738782
amzn1.account.AH5Q6LIBKGCD4S66RXC6K3XTYKHQ/,1380223
amzn1.account.AEE7GHAWHJ5X7KTEWIKNNODS7QSQ/,980790
amzn1.account.AHRAA5EV2HSWEHQJJHQSL27ILBQA/,46315787
amzn1.account.AH5DTIDNXEUEYVNRD4AEEWSQ3BLQ/,483993
amzn1.account.AEDCHUJXQPDWWQSLKKRJ7R4UHJPQ/,28720
amzn1.account.AGA7VMWNDTZJVJKNFQ3JOG55KWUQ/,2136234
amzn1.account.AGCIIQJUG3X7SAMF7SQDQ526QLZA/,193129
amzn1.account.AHY2G4KOHANGSK2WJ7U6MGUC7USQ/,27093819
amzn1.account.AGV4ZYEV4L5UVXZFIH65UXRIVMDQ/,36185
