ids,ranking
amzn1.account.AHNG5PEGOTICHKEV5KGSOQQKQNAA/,1915146
amzn1.account.AHOWBCJTI2LYTFLLIFYGQQJRLASA/,174853
amzn1.account.AHOJGBLJLSIRGOIZY2WT6DI2HRAA/,170292
amzn1.account.AG7XPXBDOU55WSF7QDHQM4UX5DBA/,269967
amzn1.account.AETV4CWXTRY7PNCJR24CRBTACIMQ/,1629733
amzn1.account.AHYEHAFHDE6PWBTBX3C7KUFO6P5Q/,483071
amzn1.account.AFBJVJZLFVAXPBKWXREYV3IMQD5Q/,477771
amzn1.account.AFP7AXSEOAL7E2F445K2V5CFQVWQ/,15465831
amzn1.account.AES6VLG46ANNRYDJO33O4RQGWQ7A/,521824
amzn1.account.AE7XDAR7HGFTAED6LYCYDDHFJ6EQ/,717336
amzn1.account.AEOG6QAHPCTQVHVF6TEJHP4KCYVA/,704451
amzn1.account.AGJ57626XP3RGIIFQBYBHBYV25ZA/,30281
amzn1.account.AEI3TRISY2ZGP24PN47W3TAMOHWA/,1699098
amzn1.account.AFNRXT2WPUJFNDVFVQGSSWMEVT6A/,330365
amzn1.account.AG7NFVGJM4M6RXLNNW3GLTA6NCQQ/,1563768
amzn1.account.AFY3ZYQDJN5CIMEJSVDQHUQNIN4Q/,926049
amzn1.account.AFEIXVAA6QOI2V46SVBHUJJGVFPA/,14875
amzn1.account.AEM5UKKTU37F3F5DU5C2UUIUJOJQ/,6957492
amzn1.account.AFYKMZWJJZJTN2WBR23XZTDGHI6A/,4543848
amzn1.account.AHQ2R4S4NP7LJ572OW2645765ELA/,83588474
amzn1.account.AE7RMHYWGLXDQDZTZGUIFC2WU6NA/,5006304
amzn1.account.AEE22HHSNHEPIWTAUWIHUX3GQDIA/,376078
amzn1.account.AHCQIRHY3UUQBKVNRGELDWPF27NA/,1110048
amzn1.account.AHSAQCQXAHWIO3FYEYTIVVXX3ZBA/,10424
amzn1.account.AEUGKS4VF3SPY5FS4FJOWBS5UK2A/,870879
amzn1.account.AGNJSU2FFTDBST4WFPIIRVFEPMQQ/,11663
amzn1.account.AGEI2PZ4WIP7NOPBHBUH2TI46Q7A/,80026
amzn1.account.AGXSP3GQR6G6WMRMOMRK4P453DJA/,15807
amzn1.account.AG5XUC2EEDZI5EDEWHB727HOACNQ/,445122
amzn1.account.AF2CVVZTGJ32IAGMEZQJWCGGGDWA/,810410
amzn1.account.AFHGGUCE5UKAVCR7T76ZNIJADOFQ/,2330306
amzn1.account.AHLWFCEL2YKZTE4OFSHBBKJMONOA/,8306752
amzn1.account.AFIUVJWDBADZG4VGFFGK6UGPTYVQ/,173666
amzn1.account.AFQKMQOZHJ2EWJYDIDEPHG35AB6Q/,7913991
amzn1.account.AH5QYLWHG66YDLVT7RLXVA2VNPFA/,5041329
amzn1.account.AHU546OWSYF7NZQ2IECMGDRDCQ5Q/,416912
amzn1.account.AGNIR22RZXRJLUHUMX2RZWLZ2EZA/,1226368
amzn1.account.AHPW3JN7P6DWIMV2FNBLS5FFF6NA/,380162
amzn1.account.AGAKKJCYVKYMOYVXLXSSIQ6QQG4Q/,400898
amzn1.account.AH5ZU3WY6NYKHQ5TONNR7UKWJAZA/,2437406
amzn1.account.AFADOSP2426TXVUYBIO2FLHPK2SQ/,20197
amzn1.account.AFI63SZT4TD33IS6SFFGVVGJC2HQ/,93549
amzn1.account.AEBYFQBWK3T3ZF7T3GNAZEOBYYMQ/,625233
amzn1.account.AFDLV2742HGMZCX6H3LCAKOU7DDA/,19312007
amzn1.account.AGTR6L53IM5V327BSZZBFBRSQA2A/,23946
amzn1.account.AFHDEHNTRB3ZWNSZAYIJTHTUKQCQ/,197284
amzn1.account.AFJ6FJUH52HUGLWJGPTXUSMLKNNQ/,8553334
amzn1.account.AE7JYRSU7J6ZJVBHC6X6SCCEQE3A/,8618234
amzn1.account.AEB3H22G3U3Y4KQMPS6Q7OOVFJPA/,83739495
amzn1.account.AGHHTDAT5THHOSGMCDLNR2H4HC2A/,1938669
amzn1.account.AEGJWAFUS4LZN2QUNFTSSZHTPNRQ/,1376162
amzn1.account.AE2MZXV6MN7FGQAWXW3QRCVLTOEQ/,119487
amzn1.account.AE55UHIMMU6DZLBBCILRUFXLUYSA/,819792
amzn1.account.AEDY4H5HNK2CEL63NBCWIGHXEYGA/,6889009
amzn1.account.AH6DCIEY5DV6AOMOLACZ7CKQ5ZKA/,517452
amzn1.account.AEE4LSBOEK4ZZ5H2TAYRV4NF3HHQ/,406317
amzn1.account.AEXUOWOC7Y4U6KB43WH6ZXNIVTIA/,2627726
amzn1.account.AH6RZP7UUAMASV2AL6UEYQ6335SQ/,5684378
amzn1.account.AEHNPNY3GUHDR2EJ4J2X5GFGKSIA/,380412
amzn1.account.AH65Q2QCFYEGZ7I6R3PKXQ25LDSA/,688194
amzn1.account.AHHG66WL25SZLOCR6ORLJHWJFOWQ/,1523769
amzn1.account.AHBJRE5G5PRMWW52J4WLCBHS32QA/,262737
amzn1.account.AGTQ5I6QP7GZJD7IDUMOBXRPS3MQ/,3910
